name,year,month,boxfile,director,actor,genre,score
我是女王,2015,04,15.535,伊能静,"宋慧乔,窦骁,陈乔恩,杨祐宁,邬君梅","剧情,爱情",5.0
亚马逊萌猴奇遇记,2015,09,15.509,蒂埃里·拉格贝尔,伊莎贝拉·德鲁蒙德,"冒险,家庭",7.7
吉星高照2015,2015,03,15.232999999999999,"晴朗,Lang Qin","曾志伟,王祖蓝,陈嘉桦,陈静,温超",喜剧,3.4
十二公民,2015,05,13.98,徐昂,"雷佳,韩童生,赵龙豪,高冬平,李光复","剧情,悬疑,犯罪",8.1
咕噜咕噜美人鱼,2015,12,13.936,杨广福,"张美娟,赵梦娇,陈大刚,刘浏,刘若班","喜剧,动画,冒险",8.7
念念,2015,04,13.895,张艾嘉,"张孝全,梁洛施,柯宇纶,李心洁,王识贤","剧情,爱情,家庭",7.3
年少轻狂,2015,11,13.069,戴睿,"包贝尔,唐艺昕,郑恺,陈妍希,孙坚","喜剧,爱情",5.6
落跑吧爱情,2015,09,13.056,"任贤齐,罗安得","舒淇,任贤齐,王彩桦,华少,狄龙","爱情,剧情",7.9
分手再说我爱你,2015,12,12.677,叶念琛,"方力申,邓丽欣,李丽珍,邵仲衡,林盛斌","喜剧,爱情",8.9
我的青春期,2015,11,12.527999999999999,"郝杰,葛夏","包贝尔,孙怡,王鹏,冯四,葛夏","剧情,喜剧,爱情",6.7
甜蜜蜜,2015,02,12.331,"陈可辛,赵良骏","黎明,张曼玉,曾志伟,张同祖,杜可风","剧情,爱情",9.2
七月半之恐怖宿舍,2015,08,12.283,杜潇傲,"翟子陌,余心恬,马元,付曼,徐歉","悬疑,惊悚",4.7
三城记,2015,08,12.24,张婉婷,"刘青云,汤唯,井柏然,秦海璐,黄觉","剧情,爱情",7.8
战火中的芭蕾,2015,08,12.105,"尼基塔·米哈尔科夫,董亚春,黄宏","曹舒慈,伊戈尔·卡列斯科夫,杜源,陈瑾,刘之冰","剧情,战争",8.4
别有动机,2015,09,11.89,黄岳泰,"林家栋,秦岚,高圣远,任达华,刘威","悬疑,动作,犯罪",6.3
喜马拉雅天梯,2015,10,11.56,"萧寒,梁君健,雷建军","索朗多吉,普布顿珠,次仁多布杰,加布,格桑央宗",纪录片,8.5
